Fund Code,Financing Currency,Fund,Reporting Currency,Report Date,Fund SPN,Strategy,Swap Name,Swap Deal Reference,Client Trade Reference,Swap Trade ID,Underlier Type,Underlier Name,ISIN Code,CUSIP Code,Sedol Code,Bloomberg Code,RIC Code,Activity,Trade Type,Trade Activity Type,Trade Date,Effective Date,Termination Date,Long Short Indicator,Synthetic Buy / Sell,Initial Quantity,Underlying Currency,Initial FX Rate,Initial price,Trade Notional,Additional Spread,Long Financing Spread (%),Dividend Distribution %,USI Prefix,USI Value,UTI Prefix,UTI Value,Gross Notional,Gross Price,Gross Price Local,Commission Type,Commission Value,Commission Value in Reporting Currency
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3260416,0,20130345_252913193,STK,WESTONE INFORMATION INDUST-A (C2),CNE100000CM6,Y95366103,BD5CK89,002268 C2,002268.ZK,UNWIND,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,B,36700,CNY,0.1425354,3.581976,131458.5181,0,0,0,1030244641,PAA2XKZ1W7SU4,1030244641,PAA2XKZ1W7SU4,131421.2364,3.5809601,25.1233,FLAT_AMOUNT,161.35,161.35
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3260491,0,20130345_252913265,STK,WILL SEMICONDUCTOR LTD-A (C1),CNE100002XM8,Y9584K103,BK947V2,603501 C1,603501.SH,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-600,CNY,0.1425354,34.4839244,-20690.35466,-4,0,100,1030244641,PAA2XKZ1W7W2U,1030244641,PAA2XKZ1W7W2U,-20716.9503,34.5282505,242.2433,FLAT_AMOUNT,-25.44,-25.44
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3262925,0,20130345_252916382,STK,WOLONG ELECTRIC GROUP CO L-A (C1),CNE000001BJ3,Y9891E105,BP3RC62,600580 C1,600580.SH,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-141000,CNY,0.1425354,1.8419267,-259711.6577,-11.6,0,100,1030244641,PAA2XKZ1WQMTK,1030244641,PAA2XKZ1WQMTK,-260045.4977,1.8442943,12.9392,FLAT_AMOUNT,-319.27,-319.27
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3262913,0,20130345_252916094,STK,WONDERS INFORMATION CO LTD-A (C2),CNE100000ZD6,Y9669S104,BD5CN02,300168 C2,300168.ZK,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-35200,CNY,0.1425354,3.6412332,-128171.4093,-13.75,0,100,1030244641,PAA2XKZ1W7834,1030244641,PAA2XKZ1W7834,-128336.1556,3.6459135,25.579,FLAT_AMOUNT,-157.57,-157.57
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3260202,0,20130345_252913790,STK,WUHAN DEPARTMENT STORE GRP-A (C2),CNE000000024,Y9715H102,BD5LYQ2,000501 C2,000501.ZK,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-4300,CNY,0.1425354,3.2297496,-13887.92315,-4,0,100,1030244641,PAA2XKZ1W7W2G,1030244641,PAA2XKZ1W7W2G,-13905.7727,3.2339006,22.6884,FLAT_AMOUNT,-17.07,-17.07
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3262865,0,20130345_252915448,STK,WUS PRINTED CIRCUIT KUNSHA-A (C2),CNE100000SP5,Y9716K104,BD5C7Z5,002463 C2,002463.ZK,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-15800,CNY,0.1425354,3.9317176,-62121.13729,-10.3,0,100,1030244641,PAA2XKZ1W7SWH,1030244641,PAA2XKZ1W7SWH,-62200.9864,3.9367713,27.6196,FLAT_AMOUNT,-76.37,-76.37
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3262704,0,20130345_252912835,STK,WUXI TAIJI INDUS CO LTD-A (C1),CNE000000B00,Y97185105,BP3RGN7,600667 C1,600667.SH,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-86200,CNY,0.1425354,1.8840061,-162401.3258,-4,0,100,1030244641,PAA2XKZ1W7W1M,1030244641,PAA2XKZ1W7W1M,-162610.0746,1.8864278,13.2348,FLAT_AMOUNT,-199.65,-199.65
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3262757,0,20130345_252913224,STK,XIAMEN FARATRONIC CO LTD-A 2 (C1),CNE000001D72,Y9721Z104,BP3RDD6,600563 C1,600563.SH,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-2200,CNY,0.1425354,9.1675692,-20168.65224,-8.6,0,100,1030244641,PAA2XKZ1W781D,1030244641,PAA2XKZ1W781D,-20194.5751,9.1793523,64.4005,FLAT_AMOUNT,-24.79,-24.79
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3260225,0,20130345_252913049,STK,XIAMEN TUNGSTEN CO LTD-A 2 (C1),CNE000001D15,Y6454T107,BP3R6F9,600549 C1,600549.SH,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-51700,CNY,0.1425354,2.1614654,-111747.7617,-11.3,0,100,1030244641,PAA2XKZ1WQN6R,1030244641,PAA2XKZ1WQN6R,-111891.3921,2.1642436,15.1839,FLAT_AMOUNT,-137.38,-137.38
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3262680,0,20130345_252912791,STK,XINJIANG COMMUNICATIONS CO-A (C2),CNE100003FM3,Y972K0100,BK4XY80,002941 C2,002941.ZK,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-16500,CNY,0.1425354,2.3713782,-39127.73981,-12,0,100,1030244641,PAA2XKZ1WQN7Y,1030244641,PAA2XKZ1WQN7Y,-39178.0338,2.3744263,16.6585,FLAT_AMOUNT,-48.1,-48.1
