"Fund Code","Financing Currency","Fund","Reporting Currency","Report Date","Fund SPN","Strategy","Swap Name","Swap Deal Reference","Client Trade Reference","Swap Trade ID","Underlier Type","Underlier Name","ISIN Code","CUSIP Code","Sedol Code","Bloomberg Code","RIC Code","Activity","Trade Type","Trade Activity Type","Trade Date","Effective Date","Termination Date","Long Short Indicator","Synthetic Buy / Sell","Initial Quantity","Underlying Currency","Initial FX Rate","Initial price","Trade Notional","Additional Spread","Long Financing Spread (%)","Dividend Distribution %","USI Prefix","USI Value","UTI Prefix","UTI Value","Gross Notional","Gross Price","Gross Price Local","Commission Type","Commission Value","Commission Value in Reporting Currency","Market Charge"
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3334378,0,20130245_260071370,STK,BEINGMATE CO LTD-A,CNE1000011Y7,Y0777E103,B4ZNLC0,002570 CS,002570.SZ,INCREASE,NEW,Trade,2020-08-17,2020-08-19,2021-09-24,L,B,200200.0,CNY,0.1441545,1.1946403,239166.994066,0.0,0.6,90.0,1030244641,PAA2XKZ25C83Q,1030244641,PAA2XKZ25C83Q,239074.0672,1.1941762,8.284,FLAT_AMOUNT,497.54,497.54,147.11
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3287082,0,20130345_260065726,STK,BLUE SAIL MEDICAL CO LTD-A (C2),CNE100000MZ7,Y767A7100,BFY8HK3,002382 C2,002382.ZK,UNWIND,NEW,Trade,2020-08-17,2020-08-19,2021-09-22,L,S,-457700.0,CNY,0.1442169,4.2780666,-1958071.096551,0.0,0.0,0.0,1030244641,PAA2XKZ232615,1030244641,PAA2XKZ232615,-1960538.8731,4.2834583,29.7015,FLAT_AMOUNT,-2039.16,-2039.16,-15072.1
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3285615,0,20130345_260065638,STK,BOE TECHNOLOGY GROUP CO LT-A (C2),CNE0000016L5,Y0920M101,BD5CPL7,000725 C2,000725.ZK,UNWIND,NEW,Trade,2020-08-17,2020-08-19,2021-09-22,S,B,288600.0,CNY,0.1442169,0.742967,214420.267542,0.0,0.0,0.0,1030244641,PAA2XKZ24KPC2,1030244641,PAA2XKZ24KPC2,214364.7871,0.7427747,5.1504,FLAT_AMOUNT,222.96,222.96,161.58
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3262689,0,20130345_260065392,STK,BOYA BIO-PHARMACEUTICAL GR-A (C2),CNE100001FF1,Y444EJ106,BD5LWP7,300294 C2,300294.ZK,INCREASE,NEW,Trade,2020-08-17,2020-08-19,2021-09-22,S,S,-100.0,CNY,0.1442169,6.9799394,-697.993943,-5.9,0.0,100.0,1030244641,PAA2XKZ25A4Y4,1030244641,PAA2XKZ25A4Y4,-698.8751,6.9887511,48.46,FLAT_AMOUNT,-0.73,-0.73,-5.38
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3327944,0,20130245_260071735,STK,BRINGSPRING SCIENCE AND TECHNOLOGY,CNE100001C30,Y09784102,B79PHT2,300290 CS,300290.SZ,INCREASE,NEW,Trade,2020-08-17,2020-08-19,2021-09-24,L,B,57700.0,CNY,0.1441545,1.182714,68242.5978,0.0,0.6,90.0,1030244641,PAA2XKZ259XXX,1030244641,PAA2XKZ259XXX,68216.0893,1.1822546,8.2013,FLAT_AMOUNT,141.96,141.96,41.97
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3265210,0,20130345_260065798,STK,BYD CO LTD -A (C2),CNE100001526,Y1023R120,BD5CQ69,002594 C2,002594.ZK,INCREASE,NEW,Trade,2020-08-17,2020-08-19,2021-09-22,S,S,-400.0,CNY,0.1442169,11.8778735,-4751.149408,-4.35,0.0,100.0,1030244641,PAA2XKZ25C99M,1030244641,PAA2XKZ25C99M,-4757.1387,11.8928468,82.465,FLAT_AMOUNT,-4.95,-4.95,-36.58
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3260272,0,20130345_260065513,STK,C&S PAPER CO LTD-A (C2),CNE100000X36,Y1822U100,BFY8GH3,002511 C2,002511.ZK,INCREASE,NEW,Trade,2020-08-17,2020-08-19,2021-08-24,S,S,-15700.0,CNY,0.1442169,3.7229112,-58449.705212,-10.5,0.0,100.0,1030244641,PAA2XKZ1WQMQF,1030244641,PAA2XKZ1WQMQF,-58523.369,3.7276031,25.8472,FLAT_AMOUNT,-60.87,-60.87,-449.91
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3262827,0,20130345_260065502,STK,CAITONG SECURITIES CO LTD-A (C1),CNE100002V44,Y1072S102,BFY9KS5,601108 C1,601108.SH,UNWIND,NEW,Trade,2020-08-17,2020-08-19,2021-08-24,S,B,3500.0,CNY,0.1442169,2.2939739,8028.90865,0.0,0.0,0.0,1030244641,PAA2XKZ1W74M3,1030244641,PAA2XKZ1W74M3,8026.8315,2.2933804,15.9023,FLAT_AMOUNT,8.35,8.35,6.05
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3276302,0,20130345_260065330,STK,CCOOP GROUP CO LTD-A (C2),CNE0000003W0,Y97225109,BD5CQP8,000564 C2,000564.ZK,UNWIND,NEW,Trade,2020-08-17,2020-08-19,2021-09-22,S,B,150000.0,CNY,0.1442169,0.5626347,84395.205,0.0,0.0,0.0,1030244641,PAA2XKZ23QWSG,1030244641,PAA2XKZ23QWSG,84373.377,0.5624892,3.9003,FLAT_AMOUNT,87.76,87.76,63.59
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020-08-17,2533938,2533938,I8W_USD,A3260310,0,20130345_260065019,STK,CHANGJIANG SECURITIES CO L-A (C2),CNE000000SH3,Y1314J100,BD5CP40,000783 C2,000783.ZK,INCREASE,NEW,Trade,2020-08-17,2020-08-19,2021-08-24,S,S,-10400.0,CNY,0.1442169,1.241268,-12909.186784,-5.45,0.0,100.0,1030244641,PAA2XKZ1XYTOV,1030244641,PAA2XKZ1XYTOV,-12925.4572,1.2428324,8.6178,FLAT_AMOUNT,-13.44,-13.44,-99.37
